track_id,label,counting_line_y_m,crossing_frame,crossing_time_sec,direction,from_segment,to_segment,previous_world_y,current_world_y
1,car,27.00,11.38,0.46,toward_camera,mid_two_lane,near_two_lane,27.64,25.95
2,car,27.00,23.91,0.96,toward_camera,mid_two_lane,near_two_lane,28.28,26.87
5,car,27.00,230.81,9.23,toward_camera,mid_two_lane,near_two_lane,29.81,26.35
6,car,27.00,42.50,1.70,toward_camera,mid_two_lane,near_two_lane,28.17,25.83
7,car,27.00,64.97,2.60,toward_camera,mid_two_lane,near_two_lane,27.91,26.97
8,car,27.00,71.56,2.86,toward_camera,mid_two_lane,near_two_lane,28.75,25.62
10,car,27.00,165.59,6.62,toward_camera,mid_two_lane,near_two_lane,28.27,26.10
12,car,27.00,374.31,14.97,toward_camera,mid_two_lane,near_two_lane,27.29,26.37
13,car,27.00,325.91,13.04,toward_camera,mid_two_lane,near_two_lane,28.82,26.81
14,car,27.00,396.78,15.87,toward_camera,mid_two_lane,near_two_lane,28.39,26.60
16,car,27.00,589.08,23.56,toward_camera,mid_two_lane,near_two_lane,27.21,24.60
17,car,27.00,565.21,22.61,toward_camera,mid_two_lane,near_two_lane,27.38,25.56
18,car,27.00,650.58,26.02,toward_camera,mid_two_lane,near_two_lane,28.16,26.16
19,car,27.00,816.50,32.66,toward_camera,mid_two_lane,near_two_lane,27.94,26.04
20,car,27.00,802.63,32.11,toward_camera,mid_two_lane,near_two_lane,28.40,26.19
22,car,27.00,867.48,34.70,toward_camera,mid_two_lane,near_two_lane,27.53,26.44
23,car,27.00,834.40,33.38,toward_camera,mid_two_lane,near_two_lane,27.53,26.22
26,car,27.00,936.69,37.47,toward_camera,mid_two_lane,near_two_lane,27.97,26.58
27,car,27.00,936.48,37.46,toward_camera,mid_two_lane,near_two_lane,28.10,25.79
29,truck,27.00,1078.95,43.16,toward_camera,mid_two_lane,near_two_lane,28.96,26.89
30,car,27.00,1039.66,41.59,toward_camera,mid_two_lane,near_two_lane,29.13,25.93
33,car,27.00,965.68,38.63,toward_camera,mid_two_lane,near_two_lane,28.55,26.27
35,car,27.00,1129.26,45.17,toward_camera,mid_two_lane,near_two_lane,27.41,25.81
36,car,27.00,1070.62,42.82,toward_camera,mid_two_lane,near_two_lane,29.38,25.56
38,car,27.00,1189.08,47.56,toward_camera,mid_two_lane,near_two_lane,69.90,23.43
39,motorcycle,27.00,1041.27,41.65,toward_camera,mid_two_lane,near_two_lane,27.54,25.51
40,car,27.00,1223.36,48.93,toward_camera,mid_two_lane,near_two_lane,27.46,26.16
42,car,27.00,1079.66,43.19,toward_camera,mid_two_lane,near_two_lane,27.68,22.52
43,car,27.00,1349.84,53.99,toward_camera,mid_two_lane,near_two_lane,28.64,26.69
45,car,27.00,1326.89,53.08,toward_camera,mid_two_lane,near_two_lane,29.81,26.64
47,car,27.00,1441.40,57.66,toward_camera,mid_two_lane,near_two_lane,27.78,25.84
48,car,27.00,1487.00,59.48,toward_camera,mid_two_lane,near_two_lane,29.81,27.00
