segment,speed_source,rows,share_of_segment_rows_pct
far_two_lane,same_segment,3764,70.13
far_two_lane,cross_segment_smoothed,0,0.00
far_two_lane,filtered_outlier,1551,28.90
far_two_lane,unavailable,52,0.97
mid_two_lane,same_segment,1132,95.37
mid_two_lane,cross_segment_smoothed,0,0.00
mid_two_lane,filtered_outlier,52,4.38
mid_two_lane,unavailable,3,0.25
near_two_lane,same_segment,744,95.26
near_two_lane,cross_segment_smoothed,24,3.07
near_two_lane,filtered_outlier,12,1.54
near_two_lane,unavailable,1,0.13
outside_calibrated_area,same_segment,0,0.00
outside_calibrated_area,cross_segment_smoothed,0,0.00
outside_calibrated_area,filtered_outlier,0,0.00
outside_calibrated_area,unavailable,950,100.00
