track_id,dominant_label,rows,duration_sec,reliable_near_mid_speed_rows,median_reliable_near_mid_speed_kmh,max_reliable_near_mid_speed_kmh
1,car,64,2.52,33,128.05,177.23
2,car,79,3.12,51,109.29,168.70
3,car,45,1.76,19,84.75,95.56
4,car,14,0.52,0,,
5,car,277,11.04,59,121.19,175.94
6,car,98,3.88,66,97.38,176.39
7,car,115,4.72,66,110.33,150.92
8,car,129,5.12,67,95.20,159.21
9,bus,4,0.24,0,,
10,car,209,8.44,53,121.28,179.85
11,truck,1,0.00,0,,
12,car,319,12.72,65,110.30,152.34
13,car,233,10.04,48,125.55,178.42
14,car,289,11.88,59,115.32,176.06
15,car,1,0.00,0,,
16,car,291,12.08,64,109.84,153.90
17,car,238,9.84,46,118.27,178.16
18,car,300,12.00,62,118.56,164.52
19,car,370,14.84,78,91.54,131.36
20,car,308,12.52,67,96.17,157.56
21,bus,6,1.24,0,,
22,car,308,12.64,77,91.85,131.45
23,car,248,11.08,64,103.37,177.67
24,car,2,0.28,0,,
25,car,10,0.36,0,,
26,car,329,13.36,70,98.58,146.59
27,car,315,12.56,65,98.77,158.75
28,car,21,0.80,0,,
29,truck,318,15.20,79,84.69,150.92
30,car,317,12.68,74,96.67,133.51
31,bus,6,0.20,0,,
32,truck,54,5.80,0,,
33,car,160,6.48,65,99.14,162.00
34,car,3,0.28,0,,
35,car,284,11.68,62,101.82,172.55
36,car,224,9.00,63,98.83,162.45
37,truck,3,0.12,0,,
38,car,321,13.00,31,92.49,176.01
39,motorcycle,147,6.00,60,108.08,176.49
40,car,237,9.88,61,105.19,174.22
41,car,2,0.04,0,,
42,car,38,2.20,20,89.48,138.79
43,car,306,12.36,63,114.16,154.85
44,truck,5,0.52,0,,
45,car,252,10.04,50,122.96,178.69
46,car,5,0.16,0,,
47,car,261,10.40,48,122.05,176.45
48,car,202,8.16,43,117.85,175.83
49,car,44,1.96,0,,
50,car,8,0.28,0,,
51,car,119,4.84,0,,
52,truck,12,1.92,0,,
53,car,89,3.52,2,90.28,114.60
54,car,78,3.36,0,,
55,car,2,0.20,0,,
56,car,74,2.92,0,,
57,car,55,2.16,0,,
58,car,7,0.24,0,,
59,car,18,0.68,0,,
60,car,2,0.04,0,,
61,car,9,0.36,0,,
