track_id,rows,start_frame,end_frame,duration_sec,roi_rows,speed_rows,segments,y2_min,y2_max
1,64,0,63,2.56,34,33,"mid_two_lane,near_two_lane,outside",444.6,719.4
2,79,0,78,3.16,52,51,"mid_two_lane,near_two_lane,outside",389.6,720.0
3,45,0,44,1.8,20,19,"near_two_lane,outside",529.2,720.0
4,14,0,13,0.56,0,0,outside,717.2,719.1
5,277,0,276,11.08,251,194,"far_two_lane,mid_two_lane,near_two_lane,outside",239.1,719.6
6,98,0,97,3.92,72,67,"far_two_lane,mid_two_lane,near_two_lane,outside",335.4,720.0
7,115,0,118,4.76,85,66,"far_two_lane,mid_two_lane,near_two_lane,outside",309.2,720.0
8,129,0,128,5.16,100,68,"far_two_lane,mid_two_lane,near_two_lane,outside",295.3,720.0
9,4,0,6,0.28,0,0,outside,236.5,238.2
10,209,0,211,8.48,187,129,"far_two_lane,mid_two_lane,near_two_lane,outside",239.2,719.5
11,1,0,0,0.04,1,0,far_two_lane,236.8,236.8
12,319,106,424,12.76,291,229,"far_two_lane,mid_two_lane,near_two_lane,outside",240.5,720.0
13,233,121,372,10.08,214,155,"far_two_lane,mid_two_lane,near_two_lane,outside",239.5,720.0
14,289,149,446,11.92,264,204,"far_two_lane,mid_two_lane,near_two_lane,outside",223.4,720.0
15,1,239,239,0.04,0,0,outside,199.1,199.1
16,291,337,639,12.12,262,202,"far_two_lane,mid_two_lane,near_two_lane,outside",236.8,720.0
17,238,363,609,9.88,215,155,"far_two_lane,mid_two_lane,near_two_lane,outside",237.7,719.0
18,300,398,698,12.04,274,205,"far_two_lane,mid_two_lane,near_two_lane,outside",237.8,720.0
19,370,504,875,14.88,337,293,"far_two_lane,mid_two_lane,near_two_lane,outside",238.7,720.0
20,308,547,860,12.56,278,220,"far_two_lane,mid_two_lane,near_two_lane,outside",240.4,720.0
21,6,599,630,1.28,6,4,far_two_lane,239.4,242.6
22,308,606,922,12.68,281,236,"far_two_lane,mid_two_lane,near_two_lane,outside",238.8,719.0
23,248,609,886,11.12,224,167,"far_two_lane,mid_two_lane,near_two_lane,outside",237.9,720.0
24,2,627,634,0.32,2,1,far_two_lane,246.8,247.4
25,10,643,652,0.4,0,0,outside,195.0,196.4
26,329,653,987,13.4,301,239,"far_two_lane,mid_two_lane,near_two_lane,outside",228.5,719.5
27,315,677,991,12.6,287,231,"far_two_lane,mid_two_lane,near_two_lane,outside",237.7,719.6
28,21,703,723,0.84,21,19,far_two_lane,246.4,257.6
29,318,760,1140,15.24,284,227,"far_two_lane,mid_two_lane,outside,near_two_lane",238.3,720.0
30,317,776,1093,12.72,288,233,"far_two_lane,mid_two_lane,near_two_lane,outside",241.2,720.0
31,6,814,819,0.24,0,0,outside,192.6,197.1
32,54,828,973,5.84,54,48,far_two_lane,239.7,286.0
33,160,856,1018,6.52,129,69,"outside,far_two_lane,mid_two_lane,near_two_lane",214.5,720.0
34,3,874,881,0.32,3,0,far_two_lane,266.0,274.5
35,284,889,1181,11.72,259,204,"far_two_lane,mid_two_lane,near_two_lane,outside",239.3,720.0
36,224,898,1123,9.04,198,139,"far_two_lane,mid_two_lane,near_two_lane,outside",240.3,720.0
37,3,913,916,0.16,3,2,far_two_lane,243.1,245.0
38,321,914,1239,13.04,255,189,"far_two_lane,mid_two_lane,outside,near_two_lane",233.6,720.0
39,147,933,1083,6.04,130,79,"far_two_lane,mid_two_lane,near_two_lane,outside",253.0,720.0
40,237,1026,1273,9.92,197,127,"far_two_lane,outside,mid_two_lane,near_two_lane",199.1,720.0
41,2,1038,1039,0.08,0,0,outside,209.5,211.7
42,38,1070,1125,2.24,23,20,"mid_two_lane,near_two_lane,outside",465.8,720.0
43,306,1090,1399,12.4,277,222,"far_two_lane,mid_two_lane,near_two_lane,outside",236.1,720.0
44,5,1111,1124,0.56,0,0,outside,421.8,487.8
45,252,1120,1371,10.08,229,179,"far_two_lane,mid_two_lane,near_two_lane,outside",241.8,719.0
46,5,1194,1198,0.2,0,0,outside,196.8,197.5
47,261,1227,1487,10.44,238,182,"far_two_lane,mid_two_lane,near_two_lane,outside",239.6,720.0
48,202,1296,1500,8.2,202,152,"far_two_lane,mid_two_lane,near_two_lane",239.8,574.2
49,44,1334,1383,2.0,44,33,far_two_lane,232.4,245.2
50,8,1375,1382,0.32,8,6,far_two_lane,242.8,245.0
51,119,1379,1500,4.88,119,118,far_two_lane,239.4,254.6
52,12,1381,1429,1.96,9,7,"far_two_lane,outside",208.9,243.5
53,89,1412,1500,3.56,89,27,"far_two_lane,mid_two_lane",227.8,354.2
54,78,1416,1500,3.4,78,77,far_two_lane,239.6,245.8
55,2,1420,1425,0.24,2,0,far_two_lane,241.6,264.0
56,74,1427,1500,2.96,74,65,far_two_lane,238.7,251.9
57,55,1446,1500,2.2,55,48,far_two_lane,238.2,261.5
58,7,1474,1480,0.28,0,0,outside,196.5,198.3
59,18,1483,1500,0.72,18,16,far_two_lane,239.5,245.3
60,2,1486,1487,0.08,2,1,far_two_lane,234.0,234.5
61,9,1491,1500,0.4,9,7,far_two_lane,243.9,245.1
