column_name,api_field_name,data_type,description,role_guess,non_null_count,null_count,smallest,largest,sample_values
id,id,number,Unique numerical ID given to each detected road user,road_user_id,2492261,0,1,20511,2; 363; 408; 409; 411
time,time,number,Time at which current road user information are measured relative to start of run (seconds),timestamp,2492261,0,60.2,7200.0,60.2; 60.2; 60.2; 60.2; 60.2
xloc_kf,xloc_kf,number,x-coordinate of road user relative to global coordinates1 of the reference image after Kalman Filtering (m),physical_x_position_m,2492261,0,0.018847997697186,196.8774130943914,179.4081184366788; 184.13952570018827; 31.305031264317257; 38.37321701460059; 37.98244763660151
yloc_kf,yloc_kf,number,y-coordinate of road user relative to global coordinates1 of the reference image after Kalman Filtering (m),physical_y_position_m,2492261,0,4.679715230221122,228.84399041649604,85.07314350690851; 59.72818501935093; 38.23027081424373; 16.38712100775242; 9.1920378472306
lane_kf,lane_kf,number,Lane ID as defined on the reference image after Kalman Filtering,lane_or_region_id,2492261,0,1.0,49.0,23.0; 25.0; 1.0; 14.0; 14.0
speed_kf_x,speed_kf_x,number,Measured speed in x dimension after Kalman Filtering (m/s),velocity_component_mps,2492261,0,-26.12220512517329,17.230055716660825,0.0111968303153274; 0.0; 0.0; -0.0074645535434568; -0.0074645535434568
speed_kf_y,speed_kf_y,number,Measured speed in y dimension after Kalman Filtering (m/s),velocity_component_mps,2492261,0,-25.46905669024028,22.70717187916536,0.0279920757878922; 0.0; 0.0037322767717994; 0.0149291070869137; 0.0223936606302995
acceleration_kf_x,acceleration_kf_x,number,Measured acceleration in x dimension after Kalman Filtering (m/s2),acceleration_component_mps2,2492261,0,-26.107276016684263,28.831838061596105,0.0186613838621946; -0.0186613838650368; 0.0; 0.0; 0.0186613838579314
acceleration_kf_y,acceleration_kf_y,number,Measured acceleration in y dimension after Kalman Filtering (m/s2),acceleration_component_mps2,2492261,0,-14.387926955130112,14.686509096918735,-0.0559841515766363; -0.018661383860063; 0.0186613838586419; 7.105427357600901E-13; -1.7763568394002257E-13
length_smoothed,length_smoothed,number,"Smoothed length of bounding box corresponding to the detected vehicle (m) [approx. vehicle length; not applicable (0) for pedestrians, bicycles, and scooters]",road_user_length_m,2492261,0,0.0,15.0,6.2; 6.2; 6.2; 6.2; 6.2
width_smoothed,width_smoothed,number,"Smoothed width of bounding box corresponding to the detected vehicle (m) [approx. vehicle length; not applicable (0) for pedestrians, bicycles, and scooters]",road_user_width_m,2492261,0,0.0,2.75,1.5373822670198778; 1.4278963186611804; 1.2; 1.3436329441972557; 1.2
type_most_common,type_most_common,number,"Type of road user detected (0=pedestrian, 1=bicycle, 2=scooter, 3=passenger car, 4=automated vehicle, 5=motorcycle, 6=bus, 7=truck)",road_user_type,2492261,0,0.0,7.0,3.0; 3.0; 3.0; 3.0; 3.0
